Day	Time	Open	High	Low	Close	Volume
29.04.2019	06:21	5.95000	5.95008	5.94944	5.94973	59099998474
29.04.2019	06:22	5.94974	5.95017	5.94973	5.95017	25999999046
29.04.2019	06:23	5.95017	5.95017	5.95000	5.95001	11000000238
29.04.2019	06:24	5.95000	5.95000	5.95000	5.95000	6600000262
29.04.2019	06:25	5.95000	5.95008	5.94944	5.94978	64400000572
29.04.2019	06:26	5.95011	5.95014	5.95011	5.95014	5250000
29.04.2019	06:27	5.95017	5.95017	5.95014	5.95016	6750000
29.04.2019	06:28	5.95019	5.95020	5.95018	5.95018	9000000
29.04.2019	06:29	5.95020	5.95021	5.95020	5.95020	3750000
29.04.2019	06:30	5.95019	5.95021	5.95019	5.95021	3750000
